State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases Per One Mil Population,Death Per One Mil Population,Total Tests,Tests Per One Mil Population,Population
Alabama,764839,13048,,,155988,2661,5595142,1141124,4903185
Alaska,96002,454,70082,25466,131232,621,2921249,3993259,731545
Arizona,1061604,19379,960220,82005,145850,2662,5866601,805994,7278717
Arkansas,482743,7412,459023,16308,159965,2456,4808199,1593277,3017804
California,4542385,67960,2391472,2082953,114962,1720,88152051,2231007,39512223
Colorado,648642,7696,546568,94378,112636,1336,3616319,627971,5758736
Connecticut,384342,8447,353420,22475,107801,2369,10848663,3042858,3565287
Delaware,127222,1913,114160,11149,130650,1965,808053,829824,973764
Florida,3530742,50817,2435928,1043997,164391,2366,38501830,1792639,21477737
Georgia,1525114,24577,1110783,389754,143643,2315,14872252,1400740,10617423
Hawaii,74437,694,,,52573,490,2270890,1603881,1415872
Idaho,241263,2613,122859,115791,135005,1462,1716381,960447,1787065
Illinois,1590342,27175,1435282,127885,125502,2145,30395751,2398688,12671821
Indiana,926604,15083,819263,92258,137637,2240,13064803,1940638,6732219
Iowa,463376,6401,386816,70159,146867,2029,5959175,1888762,3155070
Kansas,396907,5865,342199,48843,136239,2013,1701842,584160,2913314
Kentucky,649691,8251,,,145420,1847,8643332,1934638,4467673
Louisiana,725637,13418,,,156091,2886,9865420,2122146,4648794
Maine,83909,982,,,62422,731,3093137,2301078,1344212
Maryland,516784,10250,,,85480,1695,12540562,2074301,6045680
Massachusetts,790953,18445,,,114756,2676,27559376,3998457,6892503
Michigan,1109643,21997,896206,191440,111110,2203,16483780,1650547,9986857
Minnesota,681613,8076,657145,16392,120861,1432,12005921,2128848,5639632
Mississippi,473413,9214,420745,43454,159069,3096,3615402,1214792,2976149
Missouri,796997,11712,599730,185555,129858,1908,9659193,1573818,6137428
Montana,139712,1877,128290,9545,130721,1756,1730971,1619580,1068778
Nebraska,257787,2371,,,133264,1226,3541597,1830843,1934408
Nevada,410104,6845,348837,54422,133144,2222,4236823,1375522,3080156
New Hampshire,114322,1457,108692,4173,84078,1072,2811793,2067934,1359711
New Jersey,1128696,27165,1006361,95170,127074,3058,15229840,1714649,8882190
New Mexico,244720,4675,212750,27295,116710,2230,4386341,2091893,2096829
New York,2437752,55399,2117593,264760,125311,2848,67933450,3492083,19453561
North Carolina,1330492,15615,1202974,111903,126857,1489,16935906,1614776,10488084
North Dakota,125110,1585,120039,3486,164173,2080,489625,642500,762062
Ohio,1336061,21471,1189438,125152,114300,1837,15685595,1341899,11689100
Oklahoma,592074,8440,566135,17499,149628,2133,4470262,1129718,3956971
Oregon,309841,3569,220116,86156,73461,846,6676193,1582885,4217737
Pennsylvania,1370247,28882,1246924,94441,107034,2256,16670235,1302160,12801989
Rhode Island,168449,2812,,,159010,2654,5099691,4813931,1059361
South Carolina,819204,11614,593724,213866,159108,2256,10413413,2022527,5148714
South Dakota,139956,2100,130062,7794,158203,2374,1446754,1635380,884659
Tennessee,1178168,14341,1092496,71331,172520,2100,9628785,1409949,6829174
Texas,3925385,62046,3513015,350324,135377,2140,40361948,1391989,28995881
Utah,490985,2787,456766,31432,153148,869,6001390,1871949,3205958
Vermont,31156,296,27055,3805,49930,474,1999808,3204877,623989
Virginia,827197,12242,,,96912,1434,12302914,1441379,8535519
Washington,623769,7264,262878,353627,81914,954,9842443,1292525,7614893
West Virginia,219439,3370,186325,29744,122445,1880,3664554,2044784,1792147
Wisconsin,771876,8703,,,132569,1495,10318949,1772274,5822434
Wyoming,83958,918,78834,4206,145066,1586,949047,1639797,578759
